transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,8,humidity,0.8134888353830163,0.7240715622901917,0.9539123017041948
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,9,temperature,0.7275231276437618,0.6768025159835815,0.7001494434677091
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,9,humidity,2.40198763557193,2.2171053886413574,0.6333584660769622
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,10,temperature,0.4050785745233821,0.35038888454437256,0.9126835536524256
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,10,humidity,1.2752492455347697,1.0771076679229736,0.8960038594427847
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,11,temperature,0.3763061070034586,0.32593151926994324,0.9272530104547527
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,11,humidity,1.5691366775383273,1.3176069259643555,0.8123791852180346
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,12,temperature,0.3246144442386258,0.2841905355453491,0.936418789918183
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,12,humidity,1.2153378184185737,0.7029759883880615,0.9026796172561145
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,13,temperature,0.22071071206614315,0.12968748807907104,0.9701116680692532
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,13,humidity,1.5892483582859462,1.2653354406356812,0.797326865682638
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,1,temperature,0.23593831820061897,0.15575039386749268,0.9623743822578613
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,1,humidity,0.42042904765962835,0.2727225720882416,0.9877174337592005
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,2,temperature,0.3581966694923021,0.2773200273513794,0.9353619673390905
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,2,humidity,0.8558470355580301,0.47756877541542053,0.9389164849590843
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,3,temperature,0.2789345238082582,0.24813999235630035,0.9559864262113278
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,3,humidity,0.7260640393116289,0.6137714385986328,0.9599514048484978
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,4,temperature,0.5153374303520822,0.24189716577529907,0.8996863027513553
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,4,humidity,1.277641191761188,0.7201440334320068,0.836583049128124
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,5,temperature,0.3753551748250608,0.19926348328590393,0.9078409403347962
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,5,humidity,0.8156013719198261,0.5140806436538696,0.9507896551670908
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,6,temperature,0.33047450265769784,0.23280104994773865,0.9437762809034554
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,6,humidity,0.92119408369206,0.719322144985199,0.9404799674588659
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,7,temperature,0.5009967881668904,0.37322190403938293,0.8560842788920955
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,7,humidity,1.8120813872899302,1.647591471672058,0.7899452319148987
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,8,temperature,0.36989101454398815,0.3270825445652008,0.9174797622806384
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,8,humidity,1.6026875335892101,1.513109564781189,0.8211126821394592
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,9,temperature,0.7303767018792078,0.6639215350151062,0.6977926260764407
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,9,humidity,3.186554562845995,3.0469729900360107,0.3547279902075122
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,10,temperature,0.4699279765734207,0.41119879484176636,0.8824885688094621
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,10,humidity,1.6139443722655307,1.4051140546798706,0.833427157304152
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,11,temperature,0.3137533682950137,0.23382647335529327,0.9494281011978573
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,11,humidity,0.5290326799887927,0.4013744294643402,0.9786732617935977
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,12,temperature,0.2695852308535727,0.24927888810634613,0.9561484172640131
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,12,humidity,0.6190215757458387,0.5090652704238892,0.9747523261379809
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,13,temperature,0.16662055485327146,0.11141864955425262,0.9829661824268879
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,3,13,humidity,0.7935742476519809,0.7247247695922852,0.9494655242537738
full_finetune,lab2_all13,Lab2 all 13 active,0,13,1,temperature,0.1212431309292935,0.09259778261184692,0.9900642427913593
full_finetune,lab2_all13,Lab2 all 13 active,0,13,1,humidity,0.4648038702775744,0.3435363173484802,0.9849878406740893
