subset,model_temperature_rmse,model_temperature_mae,model_humidity_rmse,model_humidity_mae,mean_temperature_rmse,mean_temperature_mae,mean_humidity_rmse,mean_humidity_mae,nn_temperature_rmse,nn_temperature_mae,nn_humidity_rmse,nn_humidity_mae
"{2, 12}",0.1950111985206604,0.13161613047122955,0.7270165681838989,0.4867878258228302,0.39940232038497925,0.2783702611923218,1.5341829061508179,1.1340763568878174,0.4313030242919922,0.3044653534889221,1.6247435808181763,1.1737571954727173
"{1, 2}",0.23361532390117645,0.15509986877441406,0.8987163305282593,0.6122744679450989,0.44353199005126953,0.31696465611457825,1.7036619186401367,1.31650972366333,0.6437631249427795,0.4819527268409729,2.5126607418060303,1.8890571594238281
"{11, 12}",0.22667397558689117,0.14840932190418243,0.8097465634346008,0.5481235384941101,0.3984086215496063,0.29224133491516113,1.5419516563415527,1.2037346363067627,0.44920438528060913,0.3206964135169983,1.6436806917190552,1.232797622680664
"{6, 8}",0.21499861776828766,0.13170002400875092,0.7922147512435913,0.5115882754325867,0.44977012276649475,0.3164314329624176,1.6189026832580566,1.189146637916565,0.6198471188545227,0.4421711564064026,2.055537462234497,1.4594707489013672
"{1, 11}",0.24756769835948944,0.16502441465854645,0.9307339787483215,0.6541539430618286,0.43360066413879395,0.2949659824371338,1.5888453722000122,1.1430635452270508,0.6323306560516357,0.5055106282234192,2.579867362976074,2.134796380996704
