removed_sensor,score,delta_score_vs_reference,rmse_temperature,mae_temperature,r2_temperature,delta_r2_temperature_vs_reference,rmse_humidity,mae_humidity,r2_humidity,delta_r2_humidity_vs_reference
9,0.9580200778326357,0.0015527442923637391,0.12163037449605651,0.09350294018020996,0.9412475602405714,0.00282250865867828,0.521565067830112,0.41112110821100384,0.9747925954246999,0.0002829799260491983
7,0.957339524696794,0.0008721911565220397,0.12490110438079711,0.09381633825027026,0.9399613609908392,0.0015363094089460017,0.5274834295994439,0.4091133395066628,0.9747176884027486,0.00020807290409796675
6,0.9572992719446566,0.0008319384043846689,0.12176247269280906,0.09453054603475791,0.9415943725444451,0.003169320962551958,0.5410881129558524,0.42580159581624544,0.973004171344868,-0.0015054441537826202
10,0.9565342171672937,6.688362702178541e-05,0.1221333503398998,0.09115600557281421,0.9386077512136597,0.00018269963176653636,0.5216196105133378,0.40529918441405666,0.9744606831209276,-4.893237772307657e-05
1,0.9562155475316425,-0.0002517860086294066,0.12028385218469585,0.09124055905983998,0.9384094743321871,-1.5577249706022478e-05,0.527956745083461,0.4109864808045901,0.9740216207310979,-0.0004879947675527907
2,0.9555789101306901,-0.00088842340958184,0.12664118301903599,0.09825131297111511,0.938458534050969,3.348246907586283e-05,0.547582343523505,0.4257511290220114,0.9726992862104111,-0.0018103292882395428
11,0.9554575191890211,-0.001009814351250804,0.12486947969679876,0.09386866969557908,0.9369186644476619,-0.0015063871342312352,0.5299312911777005,0.41332170596489537,0.9739963739303804,-0.0005132415682702618
13,0.9550976215848941,-0.001369711955377828,0.12407412187090855,0.09418334697301571,0.9367741079743369,-0.0016509436075562434,0.533994512213704,0.4214176145883707,0.9734211351954513,-0.0010884803031994128
4,0.9550465588715873,-0.0014207746686846212,0.12475739037730767,0.09348796565945332,0.9361117772378873,-0.0023132743440058556,0.5285072400370546,0.40840917711074537,0.9739813405052874,-0.0005282749933632758
12,0.9541961001869572,-0.0022712333533146944,0.12261111533975748,0.09209629492117809,0.935210849443195,-0.0032142021386981634,0.5312715092207306,0.410752806525964,0.9731813509307196,-0.0013282645679311145
5,0.9523760121432518,-0.004091321397020065,0.12698436089891543,0.09478943107219842,0.9320796934034804,-0.006345358178412752,0.5321516350810855,0.4116185020941954,0.9726723308830233,-0.001837284615627377
3,0.9505472242402169,-0.005920109300055043,0.1286579703974982,0.09767885448840949,0.9304093755009979,-0.008015676080895262,0.5511516946148437,0.4285224343721683,0.970685072979436,-0.003824542519214713
8,0.9502494679022625,-0.006217865638009412,0.1271426504313278,0.09674425107928422,0.9286165811044491,-0.009808470477444042,0.5300896164463802,0.40841440512583804,0.9718823547000759,-0.002627260798574782
