active_count,active_sensors,score,meets_thresholds,r2_temperature,r2_humidity
1,[5],0.8390540575299683,True,0.8139559441368895,0.8641521709230471
1,[8],0.8331922901701847,True,0.7993021475657223,0.867082432774647
1,[7],0.8311183024789539,True,0.7982113430015408,0.8640252619563671
1,[10],0.8210045882966874,True,0.7870441007076878,0.854965075885687
1,[11],0.8178580330682642,True,0.7767495600660033,0.8589665060705252
1,[12],0.816997412680962,True,0.7762569012099724,0.8577379241519516
1,[9],0.8116958810152862,True,0.7688060946495952,0.8545856673809773
1,[1],0.7956708703777939,True,0.7538161667797112,0.8375255739758768
1,[4],0.7951572307301358,True,0.7503081461525872,0.8400063153076844
1,[3],0.7908110734446092,True,0.7409643085490991,0.8406578383401193
1,[2],0.7682890145334265,True,0.7086316548635982,0.8279463742032548
1,[6],0.7226289414268778,True,0.6349872317923665,0.8102706510613893
1,[13],0.5414795360720098,True,0.3791556576392772,0.7038034145047424
2,"[5, 8]",0.9334445485881748,True,0.9156594983229078,0.9512295988534417
2,"[5, 12]",0.9314929508935568,True,0.9130281767136482,0.9499577250734654
2,"[7, 8]",0.9312078967919577,True,0.9109349581088677,0.9514808354750476
2,"[7, 12]",0.9305850606848213,True,0.9109305851831679,0.9502395361864746
2,"[1, 5]",0.9285813266136232,True,0.9120958450492243,0.9450668081780222
2,"[3, 7]",0.9262799942172485,True,0.9051520953476533,0.9474078930868437
2,"[3, 5]",0.9253206477319189,True,0.9042352483476068,0.9464060471162311
2,"[2, 8]",0.9245655471832643,True,0.8983115643682661,0.9508195299982627
2,"[9, 12]",0.9245497625398218,True,0.8968714059070363,0.9522281191726074
2,"[1, 7]",0.9240717620481108,True,0.9014282658592917,0.9467152582369299
2,"[8, 10]",0.9237990790580534,True,0.9020447620742628,0.945553396041844
2,"[5, 9]",0.9233137926725135,True,0.8990447921313582,0.9475827932136686
2,"[5, 10]",0.9228230623524174,True,0.898994263704432,0.9466518610004029
2,"[5, 7]",0.9224915349566541,True,0.8995145887023118,0.9454684812109965
2,"[8, 11]",0.9215725400203487,True,0.8958597408622985,0.9472853391783989
2,"[7, 10]",0.9213356390786733,True,0.8962355325979677,0.946435745559379
2,"[8, 9]",0.9208631127173368,True,0.8929346842836631,0.9487915411510106
2,"[1, 8]",0.919690858434091,True,0.8948494047885849,0.9445323120795971
2,"[8, 12]",0.9187350242206669,True,0.8900809699875686,0.9473890784537653
2,"[2, 5]",0.9179566947108144,True,0.8896753526159622,0.9462380368056666
2,"[7, 9]",0.9177115011195704,True,0.8886752655658634,0.9467477366732775
2,"[9, 10]",0.917491009688064,True,0.8888967175228155,0.9460853018533124
2,"[11, 12]",0.9168966724188797,True,0.8881724005834238,0.9456209442543356
2,"[5, 11]",0.9166370991587722,True,0.889672002837362,0.9436021954801823
2,"[10, 12]",0.9162699164818973,True,0.8907765227189504,0.9417633102448442
2,"[2, 12]",0.9162543876394516,True,0.8855748936757913,0.9469338816031116
2,"[1, 10]",0.9159926266647098,True,0.8929800452236792,0.9390052081057405
2,"[1, 11]",0.9151508408982876,True,0.8869754273955378,0.9433262544010372
2,"[1, 9]",0.9144229857378878,True,0.8851479893419588,0.9436979821338168
2,"[4, 8]",0.9136084489103373,True,0.8848812345579766,0.942335663262698
2,"[2, 10]",0.9122326568407306,True,0.8832537636728676,0.9412115500085936
2,"[5, 6]",0.9117623944190532,True,0.8792107006022494,0.9443140882358568
2,"[4, 5]",0.9112963484802972,True,0.8853201477290872,0.9372725492315072
2,"[3, 8]",0.9098926297170415,True,0.8792660562001402,0.9405192032339428
2,"[10, 11]",0.9090026578381885,True,0.8761615338141091,0.9418437818622677
2,"[3, 11]",0.9087058820611067,True,0.8791051299901711,0.9383066341320424
2,"[3, 10]",0.9086750810849018,True,0.882541248036364,0.9348089141334396
2,"[7, 11]",0.9083271884455579,True,0.8752412785495155,0.9414130983416004
2,"[2, 7]",0.9070987156873651,True,0.8708876523194029,0.9433097790553273
2,"[4, 9]",0.9068028236139223,True,0.871527762714031,0.9420778845138135
2,"[4, 12]",0.9067948503281407,True,0.8777408133597745,0.935848887296507
2,"[6, 8]",0.9066350187973488,True,0.8716653144915885,0.941604723103109
2,"[3, 9]",0.9061038291362506,True,0.8730491418255942,0.9391585164469072
2,"[2, 3]",0.9060087852878547,True,0.8758451242468405,0.9361724463288688
2,"[4, 7]",0.9055279031891997,True,0.8748944960605471,0.9361613103178523
2,"[6, 7]",0.9049896304313114,True,0.8678059254413168,0.9421733354213059
2,"[6, 10]",0.904684743931854,True,0.8747224864477366,0.9346470014159715
2,"[9, 11]",0.9043375485076632,True,0.8698598835504381,0.9388152134648883
2,"[1, 12]",0.9041605476789185,True,0.8727295254270513,0.9355915699307856
2,"[4, 10]",0.9040264445862445,True,0.872697693146552,0.9353551960259369
2,"[2, 11]",0.9029921485335597,True,0.8689627469176954,0.9370215501494241
2,"[3, 12]",0.9016920262008417,True,0.8663123511779965,0.9370717012236868
2,"[1, 2]",0.9000017133585013,True,0.8661680035703669,0.9338354231466357
2,"[2, 4]",0.8990699499716278,True,0.8620256890737672,0.9361142108694884
2,"[6, 12]",0.8990083149052739,True,0.8592506855742278,0.93876594423632
2,"[3, 4]",0.8987095282473965,True,0.8659464436314328,0.93147261286336
2,"[1, 4]",0.895613570876519,True,0.8653972748591373,0.9258298668939008
2,"[4, 11]",0.8926345909798362,True,0.853280963618426,0.9319882183412465
2,"[6, 11]",0.8920506293628101,True,0.8488959095686979,0.9352053491569224
2,"[1, 3]",0.8913166116258238,True,0.8564324361883865,0.926200787063261
2,"[2, 9]",0.8901241961524389,True,0.8518433850634134,0.9284050072414645
2,"[5, 13]",0.8899144960634582,True,0.851167587681794,0.9286614044451222
2,"[4, 6]",0.883091320266261,True,0.8369327104552707,0.9292499300772513
2,"[1, 6]",0.8820411372888268,True,0.8372747352991353,0.9268075392785184
2,"[7, 13]",0.8818449166875917,True,0.8342676839913161,0.9294221493838672
2,"[3, 6]",0.8809137456437333,True,0.8359181600668963,0.9259093312205702
2,"[8, 13]",0.8786784086537194,True,0.8285710507880852,0.9287857665193536
2,"[10, 13]",0.8757713974962751,True,0.831136962588733,0.920405832403817
2,"[6, 9]",0.8721425606887321,True,0.8203829078626419,0.9239022135148224
2,"[11, 13]",0.8692684111905541,True,0.8192420264170781,0.9192947959640301
2,"[12, 13]",0.8633413415414071,True,0.8082168905155875,0.9184657925672266
2,"[9, 13]",0.863234058283538,True,0.8067500234105894,0.9197180931564867
2,"[4, 13]",0.8521415066133629,True,0.7972319434192374,0.9070510698074882
2,"[1, 13]",0.8382356912759013,True,0.7767660437605047,0.8997053387912977
2,"[2, 13]",0.8364148314975044,True,0.7729732947281032,0.8998563682669057
