lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,3,1,humidity,0.8410523345915771,0.6750853061676025,0.9462617559486656
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,4,0,temperature,0.695541001395455,0.4862060248851776,0.8172647454135703
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,4,0,humidity,1.6079252064519223,1.1364020109176636,0.7411721694477207
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,5,0,temperature,0.59321949498501,0.46504074335098267,0.7698112690068402
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,5,0,humidity,1.0950404592555547,0.8578606247901917,0.9112923959546562
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,6,0,temperature,0.3855570674890109,0.22554521262645721,0.9234718890426382
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,6,0,humidity,1.6989004955196045,1.2525248527526855,0.7975597954682732
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,7,0,temperature,0.48803107910094634,0.39840182662010193,0.8634369160089276
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,7,0,humidity,2.1165109376865794,1.700035572052002,0.7134382869754488
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,8,0,temperature,0.25209451005659606,0.18771390616893768,0.9616699249092002
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,8,0,humidity,1.145007506350104,0.7627894878387451,0.9086941741385983
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,9,1,temperature,0.6347609064953833,0.5551576018333435,0.7717390669916344
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,9,1,humidity,2.387028500799509,1.8723737001419067,0.637911002240863
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,10,0,temperature,0.35738328819230736,0.24848315119743347,0.9320348952241785
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,10,0,humidity,1.50324835320704,1.010399341583252,0.8554931040966031
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,11,0,temperature,0.25432172674343007,0.2026066929101944,0.9667723686375643
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,11,0,humidity,0.8422473312951618,0.7076521515846252,0.9459446422037984
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,12,1,temperature,0.26471821896082437,0.1921190470457077,0.9577174894718767
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,12,1,humidity,1.0773271013042653,0.8769142031669617,0.9235275543659199
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,13,1,temperature,0.26108445694900073,0.21578890085220337,0.9581768359727487
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,13,1,humidity,1.110679611554982,0.9794999957084656,0.9010102501865315
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,1,1,temperature,0.22131962039118475,0.1664038449525833,0.966892490059137
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,1,1,humidity,0.8127639781837611,0.6529486179351807,0.9540978989989796
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,2,0,temperature,0.3417864988659402,0.23008739948272705,0.9411488607288216
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,2,0,humidity,1.1253865955284619,0.7535940408706665,0.8943826689902268
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,3,0,temperature,0.30329234478804773,0.23858420550823212,0.9479638680671948
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,3,0,humidity,0.9191861784573974,0.651199221611023,0.935813397114965
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,4,1,temperature,0.6381357958755624,0.40245741605758667,0.8461834449706271
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,4,1,humidity,1.6282506853966403,0.9828242659568787,0.7345872203957607
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,5,0,temperature,0.3624552082472713,0.29423803091049194,0.9140666207541477
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,5,0,humidity,1.0650512694612948,0.8326647281646729,0.9160846255787801
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,6,0,temperature,0.40548439510201795,0.3408735990524292,0.9153568261027489
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,6,0,humidity,1.4569430490751143,1.0831127166748047,0.8511166823732694
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,7,0,temperature,0.6087244914387427,0.48835664987564087,0.787538668523349
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,7,0,humidity,2.255669973109517,1.7895464897155762,0.6745170325080512
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,8,0,temperature,0.36374044622085877,0.2881736755371094,0.920201247260512
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,8,0,humidity,1.3889478363667325,0.9648019671440125,0.8656450414804284
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,9,0,temperature,0.6132492494434689,0.519565224647522,0.7869481555955706
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,9,0,humidity,2.2432818251086495,1.6952718496322632,0.6802078715700004
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,10,1,temperature,0.48604742628310244,0.3892839252948761,0.8742885585939644
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,10,1,humidity,1.7286512073855889,1.2905339002609253,0.8089082932984365
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,11,0,temperature,0.2360473415021427,0.17403115332126617,0.9713759740613006
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,11,0,humidity,0.6686135019057909,0.48424771428108215,0.9659348948349907
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,12,1,temperature,0.35824371657015563,0.2942155599594116,0.9225626891151214
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,12,1,humidity,1.1757179826209188,0.769282341003418,0.9089214491950814
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,13,1,temperature,0.2466060891076629,0.1981407254934311,0.9626868046063947
lab2,head_only,lab2_active_1_4_10_12_13,"Lab2 active set [1, 4, 10, 12, 13]",5,8,13,1,humidity,0.7707028063673395,0.6082805395126343,0.9523364379764588
lab2,head_only,lab2_active_1_5_6_10_13,"Lab2 active set [1, 5, 6, 10, 13]",5,8,1,1,temperature,0.2533654689614675,0.19030775129795074,0.9566108127341422
lab2,head_only,lab2_active_1_5_6_10_13,"Lab2 active set [1, 5, 6, 10, 13]",5,8,1,1,humidity,0.8905236705223619,0.6687281131744385,0.9448945421459862
