lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,1,0,humidity,0.8783139076533798,0.6533138751983643,0.9738422070514541,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,1,0,temperature,0.26755317515979127,0.18696002662181854,0.8213738717926737,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,2,0,humidity,1.1825189526029067,0.9206703305244446,0.9506920322137036,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,2,0,temperature,0.24927885383113296,0.1902095526456833,0.9233597054748901,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,3,0,humidity,0.6874512525095507,0.556857705116272,0.9820436275555395,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,3,0,temperature,0.19186510826297362,0.13662002980709076,0.9327045325788741,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,4,0,humidity,0.6424893720838796,0.5210378170013428,0.9819569653358399,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,4,0,temperature,0.14004807542982073,0.11374958604574203,0.9455162695406204,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,5,0,humidity,0.6279524447527993,0.5215478539466858,0.9849504694576152,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,5,0,temperature,0.10196422940286776,0.0794386938214302,0.975476845783099,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,6,0,humidity,1.801304937579813,1.4457215070724487,0.9011320027960633,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,6,0,temperature,0.45526850896955445,0.3428708016872406,0.8175343093757383,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,7,0,humidity,0.4324609719842279,0.3534245491027832,0.9924912796031554,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,7,0,temperature,0.09414562057758227,0.07492516934871674,0.9797070234690229,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,8,0,humidity,0.4725477235903312,0.3832150399684906,0.9921738380161387,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,8,0,temperature,0.15849626133334643,0.12370964884757996,0.9495725347114873,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,9,0,humidity,0.9090254803434138,0.694488525390625,0.973797359937654,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,9,0,temperature,0.2033125396767175,0.15847338736057281,0.9378744184086301,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,10,1,humidity,5.108568040310842,3.637314796447754,-0.0024862685953246366,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,10,1,temperature,0.742200710781377,0.6209291219711304,-0.21631218180098677,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,11,0,humidity,0.4541038595161998,0.34824085235595703,0.9914563934934362,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,11,0,temperature,0.1057724421551745,0.07329918444156647,0.976229568453779,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,12,0,humidity,0.5349249235400332,0.38141265511512756,0.9900254796043721,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,12,0,temperature,0.1661487382278092,0.11406618356704712,0.9421728366538727,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,13,0,humidity,2.164980917267251,1.5016379356384277,0.758993876823348,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,13,0,temperature,0.7410373811237718,0.4536045789718628,0.569604164822058,1,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,1,0,humidity,0.6876396990940176,0.5382476449012756,0.9839666790550837,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,1,0,temperature,0.19311979652542707,0.13963915407657623,0.9069367215828692,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,2,0,humidity,1.3537068197561724,1.0199142694473267,0.9353825013572652,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,2,0,temperature,0.3585220664188223,0.27067258954048157,0.8414675806230792,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,3,0,humidity,0.7086264807765883,0.525420606136322,0.9809203882083134,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,3,0,temperature,0.12187435061330673,0.08902540057897568,0.9728469603969263,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,4,0,humidity,0.568053304053241,0.4407326281070709,0.9858955593323604,1,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
