transfer_mode,protocol_name,display_name,active_count,masked_total,r2_humidity,r2_temperature,score
head_only,lab2_active_5,Lab2 active set [5],1,12,0.8811309006140907,0.8720374530722343,0.8765841768431626
head_only,lab2_active_12,Lab2 active set [12],1,12,0.882372575112882,0.8667451860632315,0.8745588805880568
head_only,lab2_active_8,Lab2 active set [8],1,12,0.8751357697931514,0.8723024610495036,0.8737191154213275
head_only,lab2_active_3,Lab2 active set [3],1,12,0.8849049431331255,0.861973995113395,0.8734394691232603
head_only,lab2_active_10,Lab2 active set [10],1,12,0.8861406659582556,0.8566071106454884,0.871373888301872
head_only,lab2_active_1,Lab2 active set [1],1,12,0.8633004024372458,0.8671828492135725,0.8652416258254092
head_only,lab2_active_11,Lab2 active set [11],1,12,0.8669279033516949,0.8472385647613707,0.8570832340565329
head_only,lab2_active_2,Lab2 active set [2],1,12,0.8674671020682011,0.8411129845560577,0.8542900433121294
head_only,lab2_active_6,Lab2 active set [6],1,12,0.8654737722538866,0.8271920695619491,0.8463329209079178
head_only,lab2_active_9,Lab2 active set [9],1,12,0.8476885540883046,0.8390477262413951,0.8433681401648498
head_only,lab2_active_4,Lab2 active set [4],1,12,0.8600653074875313,0.8062741742718458,0.8331697408796885
head_only,lab2_active_7,Lab2 active set [7],1,12,0.8398698468200438,0.7945402982545364,0.8172050725372901
head_only,lab2_active_13,Lab2 active set [13],1,12,0.7947507139750102,0.6956477223778212,0.7451992181764158
head_only,lab2_active_2_12,"Lab2 active set [2, 12]",2,11,0.9661228877974055,0.9543770763808423,0.9602499820891239
head_only,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,0.9623847057919286,0.9540545050597335,0.9582196054258311
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,0.9638228389450619,0.9515810664905562,0.957701952717809
head_only,lab2_active_6_8,"Lab2 active set [6, 8]",2,11,0.9642579251290214,0.9507508316043514,0.9575043783666863
head_only,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,0.9631565340613991,0.9503133631576564,0.9567349486095278
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",2,11,0.9643095491418859,0.946779663155685,0.9555446061487854
head_only,lab2_active_9_11,"Lab2 active set [9, 11]",2,11,0.9637740389122913,0.9456131358389788,0.954693587375635
