transfer_mode,active_count,variable,metric,n_protocols,best_value,worst_value,absolute_gap,better_direction
head_only,1,humidity,mae,13,0.6416474764163678,1.20700859106504,0.5653611146486723,lower_is_better
head_only,1,humidity,r2,13,0.8861406659582556,0.7947507139750102,0.0913899519832454,higher_is_better
head_only,1,humidity,rmse,13,0.9222308492770973,1.5368350404863462,0.6146041912092489,lower_is_better
head_only,1,temperature,mae,13,0.21744054383956468,0.49691515473219067,0.279474610892626,lower_is_better
head_only,1,temperature,r2,13,0.8723024610495036,0.6956477223778212,0.17665473867168235,higher_is_better
head_only,1,temperature,rmse,13,0.33389777756045314,0.6283292754974567,0.2944314979370035,lower_is_better
head_only,2,humidity,mae,78,0.41521424742845386,0.9220788249602685,0.5068645775318146,lower_is_better
head_only,2,humidity,r2,78,0.9661228877974055,0.904519927042694,0.0616029607547115,higher_is_better
head_only,2,humidity,rmse,78,0.6317156075988279,1.1072162460506374,0.47550063845180945,lower_is_better
head_only,2,temperature,mae,78,0.16167993385058183,0.29152691478912646,0.12984698093854463,lower_is_better
head_only,2,temperature,r2,78,0.9554184129151012,0.8774676731741669,0.07795073974093436,higher_is_better
head_only,2,temperature,rmse,78,0.24342063726077032,0.4068530437807128,0.16343240651994248,lower_is_better
head_only,3,humidity,mae,286,0.40028051229623646,0.8953330241716825,0.495052511875446,lower_is_better
head_only,3,humidity,r2,286,0.9709272990512017,0.9135648246892534,0.0573624743619483,higher_is_better
head_only,3,humidity,rmse,286,0.591344951446101,1.0722650209586182,0.4809200695125172,lower_is_better
head_only,3,temperature,mae,286,0.1502531778353911,0.3054591921659616,0.15520601433057052,lower_is_better
head_only,3,temperature,r2,286,0.9606397492242846,0.8962024861628068,0.06443726306147779,higher_is_better
head_only,3,temperature,rmse,286,0.22891222016303717,0.37864502948461304,0.14973280932157587,lower_is_better
head_only,5,humidity,mae,20,0.42438908494435823,0.6442333070131449,0.21984422206878662,lower_is_better
head_only,5,humidity,r2,20,0.9675439092566283,0.9442457417106371,0.023298167545991122,higher_is_better
head_only,5,humidity,rmse,20,0.6167555398868944,0.8515003485933724,0.23474480870647807,lower_is_better
head_only,5,temperature,mae,20,0.15195851944960082,0.24773740195311034,0.09577888250350952,lower_is_better
head_only,5,temperature,r2,20,0.9579033494164223,0.9264822424961655,0.03142110692025679,higher_is_better
head_only,5,temperature,rmse,20,0.23535119234769203,0.31701718882900026,0.08166599648130823,lower_is_better
