lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_11_12,"Lab2 active set [1, 11, 12]",3,10,humidity,0.6892486357359254,0.4839996649668767,0.9620536080772362
lab2,head_only,lab2_active_1_11_12,"Lab2 active set [1, 11, 12]",3,10,temperature,0.23787710611217083,0.15423285617278173,0.9578511867362614
lab2,head_only,lab2_active_1_11_13,"Lab2 active set [1, 11, 13]",3,10,humidity,0.9780439776708767,0.6596646423523242,0.9260567794541548
lab2,head_only,lab2_active_1_11_13,"Lab2 active set [1, 11, 13]",3,10,temperature,0.2951773929242313,0.19980828234782586,0.9357371566341838
lab2,head_only,lab2_active_1_12,"Lab2 active set [1, 12]",2,11,humidity,0.7644075700753958,0.5525260063318106,0.9531527383636637
lab2,head_only,lab2_active_1_12,"Lab2 active set [1, 12]",2,11,temperature,0.27748178023889936,0.1967530777821174,0.9430692413102822
lab2,head_only,lab2_active_1_12_13,"Lab2 active set [1, 12, 13]",3,10,humidity,0.7441530470627444,0.5423182409543258,0.9545337696337477
lab2,head_only,lab2_active_1_12_13,"Lab2 active set [1, 12, 13]",3,10,temperature,0.2841030315156188,0.20313897270422715,0.9401565392799399
lab2,head_only,lab2_active_1_13,"Lab2 active set [1, 13]",2,11,humidity,1.049571435587076,0.6974414403621967,0.9161043163856749
lab2,head_only,lab2_active_1_13,"Lab2 active set [1, 13]",2,11,temperature,0.30270121602770905,0.204498664690898,0.9285242801135247
lab2,head_only,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,humidity,0.6868380111091166,0.4724243925167964,0.9623847057919286
lab2,head_only,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,temperature,0.2469658704293759,0.16523417028097007,0.9540545050597335
lab2,head_only,lab2_active_1_2_10,"Lab2 active set [1, 2, 10]",3,10,humidity,0.7918848209172556,0.5787367132993845,0.9492644632096524
lab2,head_only,lab2_active_1_2_10,"Lab2 active set [1, 2, 10]",3,10,temperature,0.2488040203742864,0.1701762108848645,0.9539898346761743
lab2,head_only,lab2_active_1_2_11,"Lab2 active set [1, 2, 11]",3,10,humidity,0.7100547335705512,0.5180358932568476,0.9605331853156419
lab2,head_only,lab2_active_1_2_11,"Lab2 active set [1, 2, 11]",3,10,temperature,0.2532312912185277,0.1751310980090728,0.9522218329800481
lab2,head_only,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,humidity,0.6493296336219301,0.45366756274149966,0.9658113071733647
lab2,head_only,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,temperature,0.2292008089952289,0.1544643480044145,0.9606397492242846
lab2,head_only,lab2_active_1_2_13,"Lab2 active set [1, 2, 13]",3,10,humidity,0.8046870884716806,0.5840233197579017,0.9485411656912037
lab2,head_only,lab2_active_1_2_13,"Lab2 active set [1, 2, 13]",3,10,temperature,0.25445319877112527,0.17675153624552947,0.9520971142853066
lab2,head_only,lab2_active_1_2_3,"Lab2 active set [1, 2, 3]",3,10,humidity,0.6782467190314709,0.48485216956872207,0.9634109567677333
lab2,head_only,lab2_active_1_2_3,"Lab2 active set [1, 2, 3]",3,10,temperature,0.26880410865518667,0.2071824142566094,0.9462144023468627
lab2,head_only,lab2_active_1_2_4,"Lab2 active set [1, 2, 4]",3,10,humidity,0.8556787187904852,0.5900301314317263,0.9447597548205231
lab2,head_only,lab2_active_1_2_4,"Lab2 active set [1, 2, 4]",3,10,temperature,0.2831978124119381,0.17406584666325495,0.9395210871817502
lab2,head_only,lab2_active_1_2_5,"Lab2 active set [1, 2, 5]",3,10,humidity,0.6905352596669557,0.4775075614452362,0.960426585256662
lab2,head_only,lab2_active_1_2_5,"Lab2 active set [1, 2, 5]",3,10,temperature,0.2402967174151591,0.1639652527295626,0.9571099391962595
lab2,head_only,lab2_active_1_2_6,"Lab2 active set [1, 2, 6]",3,10,humidity,0.6813726368322235,0.47199233907919663,0.9630680265816532
lab2,head_only,lab2_active_1_2_6,"Lab2 active set [1, 2, 6]",3,10,temperature,0.28273308504406647,0.20437064652259535,0.9406560491949605
lab2,head_only,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,humidity,0.6614239324222032,0.455376902451882,0.9637386511391302
lab2,head_only,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,temperature,0.24935862976479078,0.16141622341596162,0.9539717128720727
lab2,head_only,lab2_active_1_2_7,"Lab2 active set [1, 2, 7]",3,10,humidity,0.7517400557966742,0.5853187052103189,0.9543084082066652
lab2,head_only,lab2_active_1_2_7,"Lab2 active set [1, 2, 7]",3,10,temperature,0.2593909408003462,0.17584340847455537,0.9498330111979788
lab2,head_only,lab2_active_1_2_8,"Lab2 active set [1, 2, 8]",3,10,humidity,0.7202926315126097,0.543599199790221,0.9572844037138439
lab2,head_only,lab2_active_1_2_8,"Lab2 active set [1, 2, 8]",3,10,temperature,0.25862378610051,0.185447976566278,0.9505066429037117
