lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,humidity,1.202887262363649,0.9435265178863819,0.8809660066501445,1,5.0,head_only,0.871373888301872,0.8566071106454884,0.8861406659582556
lab1,lab1_reference,lab2_active_10,Lab2 active set [10],1,12,temperature,0.26357603940072116,0.2075231849001004,0.7620172249268288,1,5.0,head_only,0.871373888301872,0.8566071106454884,0.8861406659582556
lab1,lab1_reference,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,humidity,0.7863182133959157,0.6297453779440659,0.9661387826058618,2,3.0,head_only,0.957701952717809,0.9515810664905562,0.9638228389450619
lab1,lab1_reference,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,temperature,0.20482403666789162,0.1576127467247156,0.8937144860867098,2,3.0,head_only,0.957701952717809,0.9515810664905562,0.9638228389450619
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,humidity,1.201525338579563,0.9474970583732312,0.8821805778003662,1,2.0,head_only,0.8745588805880568,0.8667451860632315,0.882372575112882
lab1,lab1_reference,lab2_active_12,Lab2 active set [12],1,12,temperature,0.27541517505284,0.21183819094529519,0.7643304411964393,1,2.0,head_only,0.8745588805880568,0.8667451860632315,0.882372575112882
lab1,lab1_reference,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,humidity,0.8424560258571123,0.6820719104546767,0.9636564336840985,2,5.0,head_only,0.9567349486095278,0.9503133631576564,0.9631565340613991
lab1,lab1_reference,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,temperature,0.22562723404335475,0.1743510141968727,0.8794022975856259,2,5.0,head_only,0.9567349486095278,0.9503133631576564,0.9631565340613991
lab1,lab1_reference,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,humidity,0.8502723609295414,0.6641555222181174,0.9614592278470092,2,2.0,head_only,0.9582196054258311,0.9540545050597335,0.9623847057919286
lab1,lab1_reference,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,temperature,0.20921577873050076,0.157563994710262,0.8875308376827138,2,2.0,head_only,0.9582196054258311,0.9540545050597335,0.9623847057919286
lab1,lab1_reference,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,humidity,0.6673215264333293,0.5191545005028064,0.9757484431555619,3,5.0,head_only,0.9632255281988247,0.9606397492242846,0.9658113071733647
lab1,lab1_reference,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,temperature,0.16795899632056155,0.12360597115296584,0.9285335665777925,3,5.0,head_only,0.9632255281988247,0.9606397492242846,0.9658113071733647
lab1,lab1_reference,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,humidity,0.5838148086091741,0.43946463328141433,0.982857780031392,5,4.0,head_only,0.9588551820056015,0.9539717128720727,0.9637386511391302
lab1,lab1_reference,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,temperature,0.1471858286805092,0.10500736649219806,0.9383200398020359,5,4.0,head_only,0.9588551820056015,0.9539717128720727,0.9637386511391302
