lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,6,1,temperature,0.18064408062930123,0.11470069736242294,0.9712727885040182
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,6,1,humidity,0.6306397613824192,0.45875996351242065,0.9878816374963435
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,7,0,temperature,0.057788712772503976,0.04485313966870308,0.9923540480233924
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,7,0,humidity,0.34649646914253324,0.26315003633499146,0.9951797484370201
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,8,0,temperature,0.10216127008681206,0.07306642085313797,0.979049148454861
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,8,0,humidity,0.35580183499861756,0.2681874930858612,0.9955631593279354
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,9,1,temperature,0.20366263763351908,0.14962655305862427,0.9376602800302181
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,9,1,humidity,0.7145130664172585,0.560731828212738,0.983811250975741
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,10,0,temperature,0.08309830893616751,0.06623004376888275,0.9847529182814692
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,10,0,humidity,0.4360082432214804,0.3568741977214813,0.9926975354767944
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,11,0,temperature,0.10083235029195894,0.07938295602798462,0.9783981088683009
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,11,0,humidity,0.44935310676521983,0.3476617932319641,0.9916342213932953
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,12,0,temperature,0.11625303980354897,0.08583660423755646,0.9716895707575327
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,12,0,humidity,0.48851723118439755,0.3797823488712311,0.991681095709211
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,13,0,temperature,0.7227553428550063,0.3130614161491394,0.5905787112511545
lab1,lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",5,8,13,0,humidity,1.9436439190831336,1.0442014932632446,0.805753436151959
