transfer_mode,active_count,variable,metric,n_protocols,min,q25,median,mean,q75,max,std,iqr
head_only,1,humidity,mae,13,0.6416474764163678,0.7363095810780158,0.816543847322464,0.8374380518698834,0.8486008048057556,1.20700859106504,0.16234975478205266,0.11229122372773981
head_only,1,humidity,r2,13,0.7947507139750102,0.8600653074875313,0.8669279033516949,0.8627098813148787,0.8811309006140907,0.8861406659582556,0.02376672032187633,0.021065593126559423
head_only,1,humidity,rmse,13,0.9222308492770973,0.985167113322118,1.096414656084018,1.112321324532196,1.141455152728526,1.5368350404863462,0.16356887783377852,0.1562880394064079
head_only,1,temperature,mae,13,0.21744054383956468,0.24556947556825784,0.30873767229226917,0.30563916437900984,0.3358702648144502,0.49691515473219067,0.07538613231317388,0.09030078924619236
head_only,1,temperature,r2,13,0.6956477223778212,0.8271920695619491,0.8472385647613707,0.8344540457832618,0.8667451860632315,0.8723024610495036,0.04652794417377477,0.03955311650128235
head_only,1,temperature,rmse,13,0.33389777756045314,0.352845495165817,0.4032519214481821,0.4155714183326316,0.4425947651731239,0.6283292754974567,0.07979650143526636,0.08974927000730692
head_only,2,humidity,mae,78,0.41521424742845386,0.49932210949751044,0.5530066685034678,0.5697954187143954,0.6253965617372439,0.9220788249602685,0.09179175592974066,0.12607445223973346
head_only,2,humidity,r2,78,0.904519927042694,0.9428615230139805,0.9515294038515526,0.9491317528810986,0.9573712121012924,0.9661228877974055,0.012037831370218292,0.014509689087311872
head_only,2,humidity,rmse,78,0.6317156075988279,0.7163319943241082,0.7735179989407697,0.785999020688838,0.841490068308147,1.1072162460506374,0.09790523237054588,0.12515807398403878
head_only,2,temperature,mae,78,0.16167993385058183,0.18548336940316054,0.20105274480122787,0.2085790821889331,0.22704508241552573,0.29152691478912646,0.03232681104383817,0.04156171301236519
head_only,2,temperature,r2,78,0.8774676731741669,0.920255487134044,0.9352801374276614,0.9310956594752264,0.9439500283046156,0.9554184129151012,0.016792963930591202,0.02369454117057157
head_only,2,temperature,rmse,78,0.24342063726077032,0.2748512987449894,0.2947500236690357,0.3015167843216612,0.3234751304221591,0.4068530437807128,0.03630109756671102,0.04862383167716966
head_only,3,humidity,mae,286,0.40028051229623646,0.4790848166896747,0.5111731737852097,0.5323245037926212,0.5780997895277463,0.8953330241716825,0.07965472266420941,0.09901497283807165
head_only,3,humidity,r2,286,0.9135648246892534,0.9505336662187357,0.9576926219567377,0.9551993738967052,0.9614739587153793,0.9709272990512017,0.00925720046440969,0.010940292496643633
head_only,3,humidity,rmse,286,0.591344951446101,0.6815698977819014,0.7185045802550959,0.7373303316204751,0.7825946354508151,1.0722650209586182,0.08107955289228294,0.10102473766891373
head_only,3,temperature,mae,286,0.1502531778353911,0.17126570355433685,0.18317057163669512,0.18913079087029805,0.20148678381855673,0.3054591921659616,0.024792715571392298,0.03022108026421988
head_only,3,temperature,r2,286,0.8962024861628068,0.9368272217658937,0.9442381285004533,0.941899610885311,0.9497640625465377,0.9606397492242846,0.01117151073892869,0.012936840780643943
head_only,3,temperature,rmse,286,0.22891222016303717,0.25918775659984516,0.27301039547496186,0.278294693027276,0.29244339279340786,0.37864502948461304,0.026752682563324102,0.0332556361935627
head_only,5,humidity,mae,20,0.42438908494435823,0.4673255212031878,0.5210810303688049,0.5186237783386158,0.5498945999604006,0.6442333070131449,0.05305313944578957,0.08256907875721275
head_only,5,humidity,r2,20,0.9442457417106371,0.9554841395091573,0.9580034323252977,0.9577848098428596,0.9615179652812056,0.9675439092566283,0.006179112172015071,0.006033825772048251
head_only,5,humidity,rmse,20,0.6167555398868944,0.677854814438734,0.7186117801134293,0.7185521946619982,0.7379006691412257,0.8515003485933724,0.058132675187190876,0.060045854702491686
head_only,5,temperature,mae,20,0.15195851944960082,0.16489415973998034,0.1702143377982653,0.1790668149980215,0.18154832176291025,0.24773740195311034,0.024891828856824175,0.016654162022929908
head_only,5,temperature,r2,20,0.9264822424961655,0.9476985236194502,0.9525396115209822,0.9490368412310127,0.9538879598165704,0.9579033494164223,0.008603670548341963,0.006189436197120202
head_only,5,temperature,rmse,20,0.23535119234769203,0.24897093993466118,0.25294417601013,0.26093282796153,0.26541711391400613,0.31701718882900026,0.021422401981203064,0.016446173979344947
