transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_score,source_r2_temperature,source_r2_humidity,active_total_nominal
lab1_reference,lab2_active_10_12,"Lab2 active set [10, 12]",11,humidity,0.7807947379354534,0.5802381382538722,0.9635013609781653,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
lab1_reference,lab2_active_10_12,"Lab2 active set [10, 12]",11,temperature,0.2078705302353671,0.1431579366326332,0.9208784389878732,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,humidity,0.5986285683187886,0.40749913224807155,0.9758015898966907,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
lab1_reference,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,temperature,0.1642470556710176,0.10146145723187007,0.9416861002375169,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,humidity,0.6327207904727851,0.45664952580745405,0.9757934996894323,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,temperature,0.17138833719638932,0.10954474485837497,0.9382220997920937,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
lab1_reference,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,humidity,0.7623948688697759,0.5485933973239019,0.9616829068764006,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
lab1_reference,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,temperature,0.20786565747981525,0.13109936708441147,0.9055419181416681,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
lab1_reference,lab2_active_2_7,"Lab2 active set [2, 7]",11,humidity,0.8458119758868977,0.6101868427716769,0.9578566025115488,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
lab1_reference,lab2_active_2_7,"Lab2 active set [2, 7]",11,temperature,0.22462072959038487,0.14533885854941148,0.8999891117846872,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,humidity,0.6064676465482739,0.45276514383462757,0.978544293841177,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,temperature,0.15350957803633708,0.1034839405463292,0.9517776811776985,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
lab1_reference,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,humidity,0.7530860788443422,0.5460145060832684,0.9679072081103184,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
lab1_reference,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,temperature,0.20062354288821618,0.129957832969152,0.9185573637507123,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,humidity,0.6005764241522703,0.41583288976779353,0.9769996066416875,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,temperature,0.16553653929316925,0.10522392564094983,0.94362405950288,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
lab1_reference,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,humidity,0.7340525818071646,0.5260212100469149,0.968234622374987,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
lab1_reference,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,temperature,0.19743590160395688,0.12696109139002287,0.9211391774048929,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
lab1_reference,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,humidity,0.6875015636804691,0.5103116814906781,0.9738827464978701,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
lab1_reference,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,temperature,0.18903108069734748,0.1288904255399337,0.9327698222740717,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
lab1_reference,lab2_active_5_7,"Lab2 active set [5, 7]",11,humidity,0.8658100546770442,0.6598954338293809,0.9575860078047486,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
lab1_reference,lab2_active_5_7,"Lab2 active set [5, 7]",11,temperature,0.2248668588457297,0.15679511771752283,0.9037934831272223,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
lab1_reference,lab2_active_5_9,"Lab2 active set [5, 9]",11,humidity,0.8206336724833367,0.6126773494940537,0.9633458494496124,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
lab1_reference,lab2_active_5_9,"Lab2 active set [5, 9]",11,temperature,0.21442657688254602,0.1497212785940904,0.9140289820481688,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,humidity,0.5852960686223079,0.4102764450586759,0.9783183449289908,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,temperature,0.15213408433212822,0.09720090948618375,0.9519345732839851,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
lab1_reference,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,humidity,0.6685550978863143,0.48828235268592834,0.9772037044351328,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
lab1_reference,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,temperature,0.17801452254687428,0.11771759620079628,0.9402812141635385,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
lab1_reference,lab2_active_8_10,"Lab2 active set [8, 10]",11,humidity,0.7631559603691174,0.5696557347591107,0.9683922331963861,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
lab1_reference,lab2_active_8_10,"Lab2 active set [8, 10]",11,temperature,0.19843658808351666,0.14149691680302987,0.928791255656384,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
