transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2,active_count,rank_within_k
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,6,humidity,0.6026711342367839,0.4469383955001831,0.9889326912426908,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,7,temperature,0.05938010452626866,0.04607536271214485,0.9919271397287911,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,7,humidity,0.35834168028905344,0.270923912525177,0.9948445478050184,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,8,temperature,0.10088033093520123,0.07321066409349442,0.9795712352809574,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,8,humidity,0.38050262175069066,0.29761818051338196,0.9949257395103485,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,9,temperature,0.2013454151685657,0.14793719351291656,0.9390707811768044,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,9,humidity,0.7114883636198608,0.5550767183303833,0.983948022785051,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,10,temperature,0.08308578083183178,0.06609523296356201,0.9847575160971266,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,10,humidity,0.43992104943668303,0.35562652349472046,0.9925658805785974,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,11,temperature,0.10160593791195009,0.07957635074853897,0.9780653765399347,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,11,humidity,0.43744136212983975,0.3355655074119568,0.9920718739703728,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,12,temperature,0.11529064017142629,0.08521176874637604,0.9721563660876833,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,12,humidity,0.501236132622578,0.39103251695632935,0.9912422794883928,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,13,temperature,0.7186219474500717,0.30710411071777344,0.5952482112366774,5,1.0
lab1_reference,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,5,13,humidity,1.9220520806337,1.0183842182159424,0.8100452170560374,5,1.0
