protocol_name,display_name,active_sensors,active_count,masked_total,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab2_all13,Lab2 all 13 active,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,0,,head_only,,,
lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]","[3, 9, 10, 11, 12]",5,8,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]","[2, 5, 8, 10, 12]",5,8,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]","[3, 4, 6, 11, 12]",5,8,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]","[1, 2, 6, 9, 12]",5,8,4.0,head_only,0.9589960451677222,0.9540550561387687,0.9639370341966755
lab2_active_2_7_8_11_13,"Lab2 active set [2, 7, 8, 11, 13]","[2, 7, 8, 11, 13]",5,8,5.0,head_only,0.95874800501043,0.9570721660258362,0.9604238439950237
lab2_active_2_10_12,"Lab2 active set [2, 10, 12]","[2, 10, 12]",3,10,1.0,head_only,0.9646346718324705,0.9599084633549556,0.9693608803099855
lab2_active_1_9_11,"Lab2 active set [1, 9, 11]","[1, 9, 11]",3,10,2.0,head_only,0.9642035608256305,0.9599657674493918,0.9684413542018694
lab2_active_9_11_12,"Lab2 active set [9, 11, 12]","[9, 11, 12]",3,10,3.0,head_only,0.9633963846134114,0.9583799222354779,0.9684128469913449
lab2_active_6_10_12,"Lab2 active set [6, 10, 12]","[6, 10, 12]",3,10,4.0,head_only,0.9632241136465274,0.9554416709984305,0.9710065562946244
lab2_active_1_2_12,"Lab2 active set [1, 2, 12]","[1, 2, 12]",3,10,5.0,head_only,0.963202273808501,0.9605418554413436,0.9658626921756583
lab2_active_2_12,"Lab2 active set [2, 12]","[2, 12]",2,11,1.0,head_only,0.96029773837112,0.9543954650864147,0.9662000116558251
lab2_active_1_2,"Lab2 active set [1, 2]","[1, 2]",2,11,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab2_active_11_12,"Lab2 active set [11, 12]","[11, 12]",2,11,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab2_active_6_8,"Lab2 active set [6, 8]","[6, 8]",2,11,4.0,head_only,0.9576247393954463,0.9508138664100989,0.9644356123807938
lab2_active_1_11,"Lab2 active set [1, 11]","[1, 11]",2,11,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
