lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,3,1,humidity,0.5322913454158085,0.445901483297348,0.9872086821937117,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,4,0,temperature,0.09826876714938336,0.07903139293193817,0.9688191657136939,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,4,0,humidity,0.4929116537941491,0.38640666007995605,0.9872947835338626,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,5,0,temperature,0.08014400028856647,0.06188977137207985,0.9825460407353036,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,5,0,humidity,0.4921466114074803,0.40033552050590515,0.9891307476460849,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,6,0,temperature,0.2676942114067728,0.19743612408638,0.931321620587527,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,6,0,humidity,1.1472846752087875,0.9157909154891968,0.9549895226862933,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,7,0,temperature,0.09202365053726902,0.06935029476881027,0.9773354022622588,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,7,0,humidity,0.4456728598159123,0.3264005780220032,0.9903455439091169,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,8,0,temperature,0.08016816752404998,0.06819265335798264,0.9864023553083512,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
