lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,humidity,0.7861288605914402,0.6295837439023532,0.9661586423421341,2,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab1,lab1_reference,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,temperature,0.20476561870732204,0.15754955261945724,0.8937645812939444,2,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab1,lab1_reference,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,humidity,0.8424619255245754,0.6819860935211182,0.9636584462652157,2,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
lab1,lab1_reference,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,temperature,0.22557430975626994,0.17428565655763334,0.879451786199436,2,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
lab1,lab1_reference,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,humidity,0.8497867273446639,0.6637614140143762,0.9614927368563085,2,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab1,lab1_reference,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,temperature,0.20917890724865623,0.15753337397025183,0.8875949072459963,2,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab1,lab1_reference,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,humidity,0.6669178867481288,0.5188550765697773,0.9757741924734199,3,5.0,head_only,0.963202273808501,0.9605418554413436,0.9658626921756583
lab1,lab1_reference,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,temperature,0.1679083283167327,0.12357759131835057,0.9286115719585263,3,5.0,head_only,0.963202273808501,0.9605418554413436,0.9658626921756583
lab1,lab1_reference,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,humidity,0.5837337615745893,0.43940750566812664,0.9828694342389956,5,4.0,head_only,0.9589960451677222,0.9540550561387687,0.9639370341966755
lab1,lab1_reference,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,temperature,0.14716030433516558,0.10498569332636319,0.9384073939195878,5,4.0,head_only,0.9589960451677222,0.9540550561387687,0.9639370341966755
lab1,lab1_reference,lab2_active_1_9_11,"Lab2 active set [1, 9, 11]",3,10,humidity,0.7360176669258648,0.572608042221803,0.9721384288071826,3,2.0,head_only,0.9642035608256305,0.9599657674493918,0.9684413542018694
lab1,lab1_reference,lab2_active_1_9_11,"Lab2 active set [1, 9, 11]",3,10,temperature,0.1832660436130823,0.13663745327637747,0.9026894689633662,3,2.0,head_only,0.9642035608256305,0.9599657674493918,0.9684413542018694
lab1,lab1_reference,lab2_active_2_10_12,"Lab2 active set [2, 10, 12]",3,10,humidity,0.6580929589674557,0.5070657730102539,0.9757503691749465,3,1.0,head_only,0.9646346718324705,0.9599084633549556,0.9693608803099855
lab1,lab1_reference,lab2_active_2_10_12,"Lab2 active set [2, 10, 12]",3,10,temperature,0.15379587228311745,0.1129951594540706,0.9303305912747388,3,1.0,head_only,0.9646346718324705,0.9599084633549556,0.9693608803099855
lab1,lab1_reference,lab2_active_2_12,"Lab2 active set [2, 12]",2,11,humidity,0.7034441896784879,0.5522895661684183,0.9723356885915108,2,1.0,head_only,0.96029773837112,0.9543954650864147,0.9662000116558251
lab1,lab1_reference,lab2_active_2_12,"Lab2 active set [2, 12]",2,11,temperature,0.17392320818999338,0.1294692402275709,0.9175336245598651,2,1.0,head_only,0.96029773837112,0.9543954650864147,0.9662000116558251
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,humidity,0.5840261843308122,0.4503989185278232,0.9811132575672732,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,temperature,0.13860287981453753,0.10359179142575997,0.9456569054246912,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_7_8_11_13,"Lab2 active set [2, 7, 8, 11, 13]",5,8,humidity,0.6285198154747949,0.4764849635270926,0.9791426914427089,5,5.0,head_only,0.95874800501043,0.9570721660258362,0.9604238439950237
lab1,lab1_reference,lab2_active_2_7_8_11_13,"Lab2 active set [2, 7, 8, 11, 13]",5,8,temperature,0.15174154624015607,0.11300271033094479,0.9301344949349831,5,5.0,head_only,0.95874800501043,0.9570721660258362,0.9604238439950237
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,humidity,0.666092754008041,0.5023180383902329,0.9739657467024915,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,temperature,0.1579072917302264,0.11378666672569054,0.920173307964471,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,humidity,0.6709706600137437,0.5285036919208673,0.9768251171899396,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,temperature,0.15690144983274446,0.11974092716207871,0.9239831255198317,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_6_10_12,"Lab2 active set [6, 10, 12]",3,10,humidity,0.6227426585286288,0.4763977298369774,0.9773596467160081,3,4.0,head_only,0.9632241136465274,0.9554416709984305,0.9710065562946244
lab1,lab1_reference,lab2_active_6_10_12,"Lab2 active set [6, 10, 12]",3,10,temperature,0.1562140909549208,0.1142896178823251,0.9333253957219765,3,4.0,head_only,0.9632241136465274,0.9554416709984305,0.9710065562946244
lab1,lab1_reference,lab2_active_6_8,"Lab2 active set [6, 8]",2,11,humidity,0.7701362208126569,0.5907045832047095,0.9673591834189789,2,4.0,head_only,0.9576247393954463,0.9508138664100989,0.9644356123807938
lab1,lab1_reference,lab2_active_6_8,"Lab2 active set [6, 8]",2,11,temperature,0.18543992119876462,0.13785116460460883,0.9031482888757367,2,4.0,head_only,0.9576247393954463,0.9508138664100989,0.9644356123807938
lab1,lab1_reference,lab2_active_9_11_12,"Lab2 active set [9, 11, 12]",3,10,humidity,0.681186789874983,0.5419280391473037,0.9767088237414371,3,3.0,head_only,0.9633963846134114,0.9583799222354779,0.9684128469913449
lab1,lab1_reference,lab2_active_9_11_12,"Lab2 active set [9, 11, 12]",3,10,temperature,0.16989630979903034,0.12868981751111838,0.9212035593860095,3,3.0,head_only,0.9633963846134114,0.9583799222354779,0.9684128469913449
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,humidity,0.5144032739457649,0.3775866971566127,0.9863056017990707,13,,head_only,,,
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,temperature,0.12145206344807183,0.08689622953534126,0.9510717460049822,13,,head_only,,,
lab2,zero_shot,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,humidity,1.242633038199023,1.020675533092939,0.873485978291736,2,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab2,zero_shot,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,temperature,0.4749471812709676,0.3677055709637128,0.8238221927395579,2,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab2,zero_shot,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,humidity,1.2616607451697137,1.0373259232594416,0.8660649063892321,2,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
lab2,zero_shot,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,temperature,0.49292908072313063,0.38633458660199094,0.8112916912841447,2,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
lab2,zero_shot,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,humidity,1.2999628779185466,1.0309159732781923,0.8626309316701524,2,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab2,zero_shot,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,temperature,0.49592544740855415,0.3710792798262376,0.8019332549094276,2,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab2,zero_shot,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,humidity,1.2898145610309417,1.0209927192101111,0.8648473190198798,3,5.0,head_only,0.963202273808501,0.9605418554413436,0.9658626921756583
lab2,zero_shot,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,temperature,0.46864588864080176,0.3492443034282097,0.8208585438905429,3,5.0,head_only,0.963202273808501,0.9605418554413436,0.9658626921756583
lab2,zero_shot,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,humidity,1.3147252735702428,1.0552702798293188,0.8558637701740437,5,4.0,head_only,0.9589960451677222,0.9540550561387687,0.9639370341966755
lab2,zero_shot,lab2_active_1_2_6_9_12,"Lab2 active set [1, 2, 6, 9, 12]",5,8,temperature,0.48407935273557273,0.3674407727443255,0.8071918492396578,5,4.0,head_only,0.9589960451677222,0.9540550561387687,0.9639370341966755
lab2,zero_shot,lab2_active_1_9_11,"Lab2 active set [1, 9, 11]",3,10,humidity,1.355882069655738,1.097990645812108,0.8459457717428064,3,2.0,head_only,0.9642035608256305,0.9599657674493918,0.9684413542018694
