lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,6,0,temperature,0.2920637011267602,0.1603863686323166,0.9435475909906774
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,7,0,humidity,0.575434144569741,0.39801865816116333,0.9796251547914523
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,7,0,temperature,0.23522664945871244,0.16869321465492249,0.9607571593762163
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,8,0,humidity,0.4388168136282514,0.3129024803638458,0.9866113948563827
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,8,0,temperature,0.19151806971080568,0.12454694509506226,0.9710706037668193
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,9,0,humidity,0.615607762942591,0.37976139783859253,0.9762644052668004
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,9,0,temperature,0.23969833923957304,0.15479858219623566,0.9576881691139557
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,10,1,humidity,0.7763022725538969,0.4706398546695709,0.9624665108006932
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,10,1,temperature,0.25090799248437506,0.1625705063343048,0.9577767186422756
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,11,1,humidity,0.6532032723501363,0.47685012221336365,0.967297055187118
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,11,1,temperature,0.25788894155854825,0.1690690815448761,0.9545976468922286
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,12,1,humidity,0.8318017275874622,0.7185827493667603,0.9561106637905491
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,12,1,temperature,0.25827391111513426,0.21104146540164948,0.9485163920973727
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,13,0,humidity,0.5068458159261316,0.42882096767425537,0.9797667824095474
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,13,0,temperature,0.18440959129092618,0.13739240169525146,0.9726518671409085
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,1,0,humidity,0.45597760286247624,0.358150452375412,0.9854495155462984
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,1,0,temperature,0.15703711735975523,0.11831966787576675,0.9777555346824651
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,2,0,humidity,0.7135788195513803,0.451760470867157,0.9563159658932439
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,2,0,temperature,0.30914348214395476,0.1817959100008011,0.9353366070607612
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,3,0,humidity,0.466112329213121,0.3416672348976135,0.9834237454229271
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,3,0,temperature,0.19034329924642013,0.12251827120780945,0.9726524453960659
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,4,0,humidity,1.1230441682202434,0.5318765044212341,0.8641588456014466
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,4,0,temperature,0.5658076312876326,0.25279903411865234,0.840794365247169
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,5,0,humidity,0.555126983188934,0.41572922468185425,0.9779689937190232
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,5,0,temperature,0.18762903938926462,0.1284039467573166,0.9703465559373534
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,6,0,humidity,0.7514119368203312,0.45111674070358276,0.9604373355844159
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,6,0,temperature,0.2943184977163532,0.14905276894569397,0.9426725739875914
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,7,0,humidity,0.6614975704860693,0.4794793426990509,0.9730747615510262
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,7,0,temperature,0.2585974361698616,0.17005163431167603,0.9525718872048092
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,8,0,humidity,0.6612064202267537,0.46751031279563904,0.9696021441084506
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,8,0,temperature,0.21773405531526824,0.1448986828327179,0.9626085243313907
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,9,0,humidity,0.6640975045346691,0.39393576979637146,0.9723779674810401
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,9,0,temperature,0.25976736025123104,0.15542231500148773,0.9503063479321018
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,10,1,humidity,1.0924711107497882,0.6973305344581604,0.9256677695982076
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,10,1,temperature,0.335760813091584,0.24206535518169403,0.9243893440321497
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,11,1,humidity,0.6677330895256754,0.503140389919281,0.9658259877044932
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,11,1,temperature,0.31703078480964175,0.23536907136440277,0.9313855186984987
lab2,head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,12,0,humidity,0.6123367617540039,0.4488316774368286,0.9762151713456523
