transfer_mode,protocol_name,display_name,active_count,masked_total,r2_humidity,r2_temperature,score
head_only,lab2_active_2_12,"Lab2 active set [2, 12]",2,11,0.9662000116558251,0.9543954650864147,0.96029773837112
head_only,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,0.962422577338522,0.9540314520967426,0.9582270147176323
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,0.9638727228693607,0.9514403099028861,0.9576565163861234
head_only,lab2_active_6_8,"Lab2 active set [6, 8]",2,11,0.9644356123807938,0.9508138664100989,0.9576247393954463
head_only,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,0.9631088799306292,0.9500187033567216,0.9565637916436753
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",2,11,0.9642324365422711,0.9466273118382845,0.9554298741902778
head_only,lab2_active_9_11,"Lab2 active set [9, 11]",2,11,0.9638473270887771,0.9455403045931008,0.9546938158409389
head_only,lab2_active_6_12,"Lab2 active set [6, 12]",2,11,0.9625245370022841,0.9461170041520057,0.9543207705771449
head_only,lab2_active_2_8,"Lab2 active set [2, 8]",2,11,0.9517219047954667,0.9553451801911598,0.9535335424933132
head_only,lab2_active_3_5,"Lab2 active set [3, 5]",2,11,0.9542190882129096,0.9521666111077385,0.953192849660324
head_only,lab2_active_5_9,"Lab2 active set [5, 9]",2,11,0.9578156068355155,0.9476251654679295,0.9527203861517225
head_only,lab2_active_1_3,"Lab2 active set [1, 3]",2,11,0.9573810845139732,0.9475853013002067,0.9524831929070899
head_only,lab2_active_5_6,"Lab2 active set [5, 6]",2,11,0.9587755472413447,0.9440299723227997,0.9514027597820722
head_only,lab2_active_1_6,"Lab2 active set [1, 6]",2,11,0.957089978716853,0.9456204591019783,0.9513552189094157
head_only,lab2_active_3_12,"Lab2 active set [3, 12]",2,11,0.9632479688118039,0.9388038560766888,0.9510259124442464
head_only,lab2_active_2_10,"Lab2 active set [2, 10]",2,11,0.9530381507933542,0.9475245538245474,0.9502813523089508
head_only,lab2_active_8_9,"Lab2 active set [8, 9]",2,11,0.9574305518584887,0.9430323712574017,0.9502314615579452
head_only,lab2_active_9_10,"Lab2 active set [9, 10]",2,11,0.9581352928715636,0.9413368291058449,0.9497360609887042
head_only,lab2_active_4_8,"Lab2 active set [4, 8]",2,11,0.9585654162147433,0.940899045470535,0.9497322308426392
head_only,lab2_active_6_10,"Lab2 active set [6, 10]",2,11,0.9631462861647301,0.9362575134527371,0.9497018998087337
head_only,lab2_active_3_9,"Lab2 active set [3, 9]",2,11,0.9556285243685956,0.9434890290243695,0.9495587766964826
head_only,lab2_active_3_11,"Lab2 active set [3, 11]",2,11,0.9571450921822411,0.9416453297432162,0.9493952109627286
