transfer_mode,protocol_name,display_name,masked_total,r2_humidity,r2_temperature,active_count,score
head_only,lab2_active_5_9,"Lab2 active set [5, 9]",11,0.8763267302988064,0.9345777107030199,2,0.9054522205009131
head_only,lab2_active_2_7,"Lab2 active set [2, 7]",11,0.8771464812600616,0.9319178295004421,2,0.9045321553802519
head_only,lab2_active_8_10,"Lab2 active set [8, 10]",11,0.8718450831091956,0.9333923944250012,2,0.9026187387670984
head_only,lab2_active_5_7,"Lab2 active set [5, 7]",11,0.8696930836211141,0.9330976070759145,2,0.9013953453485143
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,0.8641489579353527,0.9357172381864598,2,0.8999330980609063
head_only,lab2_active_7_10,"Lab2 active set [7, 10]",11,0.8717584847014095,0.9272045453485938,2,0.8994815150250016
head_only,lab2_active_5_8,"Lab2 active set [5, 8]",11,0.8637879240017516,0.9336677298588193,2,0.8987278269302854
head_only,lab2_active_1_10,"Lab2 active set [1, 10]",11,0.869129855990666,0.9273944438952191,2,0.8982621499429425
head_only,lab2_active_4_7,"Lab2 active set [4, 7]",11,0.8840026848045158,0.9112448771929116,2,0.8976237809987138
head_only,lab2_active_7_12,"Lab2 active set [7, 12]",11,0.8705348346160565,0.9231243671809186,2,0.8968296008984875
head_only,lab2_active_7_8,"Lab2 active set [7, 8]",11,0.8671358440665417,0.925956905915768,2,0.8965463749911549
head_only,lab2_active_6_12,"Lab2 active set [6, 12]",11,0.8706451178318388,0.9215036722286578,2,0.8960743950302483
head_only,lab2_active_7_11,"Lab2 active set [7, 11]",11,0.8658985945915488,0.9262434300422309,2,0.8960710123168898
head_only,lab2_active_9_10,"Lab2 active set [9, 10]",11,0.8723679780121126,0.9174775154516802,2,0.8949227467318964
head_only,lab2_active_6_7,"Lab2 active set [6, 7]",11,0.8645368266903588,0.9245704447941621,2,0.8945536357422604
head_only,lab2_active_4_9,"Lab2 active set [4, 9]",11,0.8716295057732839,0.9167025576955569,2,0.8941660317344204
head_only,lab2_active_8_12,"Lab2 active set [8, 12]",11,0.8618027951495459,0.9254986252880264,2,0.8936507102187862
head_only,lab2_active_2_8,"Lab2 active set [2, 8]",11,0.8640832452245942,0.9230622763314825,2,0.8935727607780384
head_only,lab2_active_8_9,"Lab2 active set [8, 9]",11,0.8640812476310569,0.9215113815158021,2,0.8927963145734295
head_only,lab2_active_6_8,"Lab2 active set [6, 8]",11,0.8593614786553906,0.9242269250990205,2,0.8917942018772056
head_only,lab2_active_8_11,"Lab2 active set [8, 11]",11,0.8580151561941638,0.9244593503750334,2,0.8912372532845986
head_only,lab2_active_1_6,"Lab2 active set [1, 6]",11,0.8724307030818254,0.9097342873980085,2,0.891082495239917
head_only,lab2_active_3_7,"Lab2 active set [3, 7]",11,0.8639882423009849,0.9181617621333966,2,0.8910750022171907
head_only,lab2_active_1_7,"Lab2 active set [1, 7]",11,0.866584296674948,0.9152908992643319,2,0.8909375979696399
head_only,lab2_active_1_8,"Lab2 active set [1, 8]",11,0.8640358389504239,0.9173964654095056,2,0.8907161521799647
head_only,lab2_active_5_12,"Lab2 active set [5, 12]",11,0.8532691158727176,0.9275231658814203,2,0.8903961408770689
head_only,lab2_active_6_10,"Lab2 active set [6, 10]",11,0.8543785161121826,0.9245657577302672,2,0.8894721369212248
head_only,lab2_active_2_12,"Lab2 active set [2, 12]",11,0.8581505612616293,0.9200152303729237,2,0.8890828958172765
head_only,lab2_active_2_9,"Lab2 active set [2, 9]",11,0.8649346605360203,0.9114711061889879,2,0.8882028833625041
head_only,lab2_active_1_2,"Lab2 active set [1, 2]",11,0.8685787060415344,0.9076115059463258,2,0.8880951059939302
head_only,lab2_active_1_5,"Lab2 active set [1, 5]",11,0.8543904443357258,0.9191915741233578,2,0.8867910092295418
head_only,lab2_active_3_10,"Lab2 active set [3, 10]",11,0.8517763856430592,0.921515691714913,2,0.8866460386789861
head_only,lab2_active_4_8,"Lab2 active set [4, 8]",11,0.8667818138499211,0.906328286427162,2,0.8865550501385415
head_only,lab2_active_3_9,"Lab2 active set [3, 9]",11,0.8621801209772428,0.9094834528345158,2,0.8858317869058794
head_only,lab2_active_3_6,"Lab2 active set [3, 6]",11,0.8608185431468178,0.9089698629560422,2,0.88489420305143
head_only,lab2_active_5_10,"Lab2 active set [5, 10]",11,0.8383294556345183,0.9309329129027155,2,0.884631184268617
head_only,lab2_active_5_6,"Lab2 active set [5, 6]",11,0.8458983249651344,0.922391919330127,2,0.8841451221476306
head_only,lab2_active_3_12,"Lab2 active set [3, 12]",11,0.84865803136312,0.9162944882849817,2,0.8824762598240509
head_only,lab2_active_6_9,"Lab2 active set [6, 9]",11,0.85738432075916,0.9053303373116328,2,0.8813573290353964
head_only,lab2_active_9_11,"Lab2 active set [9, 11]",11,0.849091776769494,0.9134942615413486,2,0.8812930191554214
head_only,lab2_active_9_13,"Lab2 active set [9, 13]",11,0.8553687298238736,0.9057959104749868,2,0.8805823201494302
head_only,lab2_active_2_10,"Lab2 active set [2, 10]",11,0.841834182233985,0.919096700469961,2,0.880465441351973
head_only,lab2_active_1_12,"Lab2 active set [1, 12]",11,0.8505047485636704,0.9093766828985295,2,0.8799407157310999
head_only,lab2_active_4_10,"Lab2 active set [4, 10]",11,0.8595638364908506,0.899953590523088,2,0.8797587135069693
head_only,lab2_active_3_5,"Lab2 active set [3, 5]",11,0.8399883138883806,0.9170200859493528,2,0.8785041999188667
head_only,lab2_active_3_8,"Lab2 active set [3, 8]",11,0.8366783743617072,0.9184759668575875,2,0.8775771706096474
head_only,lab2_active_7_9,"Lab2 active set [7, 9]",11,0.8550269714736116,0.8983553324575039,2,0.8766911519655578
head_only,lab2_active_1_3,"Lab2 active set [1, 3]",11,0.8402765517846825,0.9121335376234607,2,0.8762050447040717
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,0.8360124874142263,0.9163298430260178,2,0.8761711652201221
head_only,lab2_active_2_3,"Lab2 active set [2, 3]",11,0.855683066335433,0.8941475068351203,2,0.8749152865852767
head_only,lab2_active_9_12,"Lab2 active set [9, 12]",11,0.8405384806845043,0.9076037831593571,2,0.8740711319219308
