transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2
head_only,lab2_active_10_11,"Lab2 active set [10, 11]",11,humidity,1.5828495749434437,1.20231366616029,0.8033229619385429
head_only,lab2_active_10_11,"Lab2 active set [10, 11]",11,temperature,0.3882088351680931,0.30031794194991773,0.9115871305130904
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,humidity,1.4418741219911482,1.0312222517453706,0.835814533339386
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,temperature,0.34917615231389976,0.2556361315342096,0.9296801511335335
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,humidity,1.5407458255093358,1.0755214599462657,0.8128060838351144
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,temperature,0.3900216022509245,0.2908644699133359,0.9101323474190777
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,humidity,1.3073862258915696,0.9071354407530564,0.8641489579353527
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,temperature,0.3340060174406965,0.2436992457279792,0.9357172381864598
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,humidity,1.3829109919503215,0.9705229951785161,0.8457798313574697
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,temperature,0.3704200511252124,0.27987276246914494,0.919287417015519
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,humidity,1.42904041249252,0.9745356944891123,0.8342405993508817
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,temperature,0.3880045421933837,0.2912076986753024,0.9109392388036845
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,humidity,1.4413873942456057,1.0647992675121014,0.8360124874142263
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,temperature,0.3785066167970853,0.29291329934046817,0.9163298430260178
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,humidity,1.490568385330227,1.0478275693379915,0.8238419897807476
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,temperature,0.38798654666721466,0.29378969164995045,0.9104993543703247
head_only,lab2_active_11_13,"Lab2 active set [11, 13]",11,humidity,1.778648300712232,1.4378645282525282,0.7512199105285059
head_only,lab2_active_11_13,"Lab2 active set [11, 13]",11,temperature,0.47565760004904156,0.39934076024935794,0.8667599199895244
head_only,lab2_active_12_13,"Lab2 active set [12, 13]",11,humidity,1.4710850052449502,1.0744922986397376,0.8218259099533018
head_only,lab2_active_12_13,"Lab2 active set [12, 13]",11,temperature,0.4044136680815653,0.3119927919827975,0.9018138097968725
head_only,lab2_active_1_10,"Lab2 active set [1, 10]",11,humidity,1.2910213243884114,0.940107313486246,0.869129855990666
head_only,lab2_active_1_10,"Lab2 active set [1, 10]",11,temperature,0.353571934442182,0.26253034289066607,0.9273944438952191
head_only,lab2_active_1_10_11,"Lab2 active set [1, 10, 11]",10,humidity,1.456716384198291,1.0166918497819166,0.8328076978987642
head_only,lab2_active_1_10_11,"Lab2 active set [1, 10, 11]",10,temperature,0.3771328983740415,0.2858767933570422,0.9173981435269815
head_only,lab2_active_1_10_12,"Lab2 active set [1, 10, 12]",10,humidity,1.295111481965125,0.9475704614932721,0.8674705251285294
head_only,lab2_active_1_10_12,"Lab2 active set [1, 10, 12]",10,temperature,0.34826529591858224,0.26423677802085876,0.9296883979135553
