transfer_mode,protocol_name,display_name,masked_total,sensor,variable,rmse,mae,r2
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,9,humidity,2.110368960695867,1.415846824645996,0.7169801563154108
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,9,temperature,0.48867591167096963,0.3612830638885498,0.8647139218186133
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,10,humidity,1.9835277761250705,1.478722333908081,0.748404041746513
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,10,temperature,0.4589781415800127,0.36060646176338196,0.8879010563116126
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,11,humidity,0.9057069664212857,0.634818971157074,0.9374921043559865
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,11,temperature,0.25648204368998173,0.18781422078609467,0.9662054712919744
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,12,humidity,1.431003152807829,1.109092116355896,0.8650754556807909
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,12,temperature,0.3612785924004189,0.30516642332077026,0.921245109722575
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,13,humidity,0.8436874437101116,0.5563631653785706,0.9428816315354651
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",10,13,temperature,0.23666727148373873,0.1757078766822815,0.9656338217620675
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,1,humidity,0.889806639154522,0.6041057705879211,0.9449832438281283
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,1,temperature,0.2536332790523805,0.1828245371580124,0.9565190378688503
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,2,humidity,1.448008728759759,1.0136127471923828,0.8251465986698492
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,2,temperature,0.28440915835291064,0.2089710831642151,0.9592495683207587
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,3,humidity,1.2175646666442947,1.0077879428863525,0.8873784477213741
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,3,temperature,0.3084668731616898,0.27191394567489624,0.9461731259331767
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,4,humidity,1.7895483165271227,1.0369503498077393,0.6793980625581519
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,4,temperature,0.5528790719255141,0.28227606415748596,0.8845385057529019
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,5,humidity,1.2888264295408802,1.0063978433609009,0.8771176848333568
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,5,temperature,0.31416310981023776,0.25378701090812683,0.9354399881490763
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,6,humidity,1.9468108385513663,1.3256901502609253,0.7341672980774621
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,6,temperature,0.4644482958055717,0.3410032093524933,0.8889500445470335
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,7,humidity,2.3494615262541307,1.6943562030792236,0.6468869110023122
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,7,temperature,0.5552113973689268,0.4427014887332916,0.823251768475738
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,8,humidity,1.6195550809175132,1.032716989517212,0.8173274577083027
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,8,temperature,0.360952481045633,0.24473930895328522,0.9214198287881942
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,9,humidity,2.3411956091579738,1.6040284633636475,0.6516823180540308
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,9,temperature,0.5801873922992061,0.4489763081073761,0.8093012655298708
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,10,humidity,1.990472990786557,1.5148870944976807,0.7466390669070162
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,10,temperature,0.5246474387873906,0.4400925040245056,0.8535286737292861
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,11,humidity,0.9172142661769006,0.5878857970237732,0.9358936513496672
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,11,temperature,0.2860602329106807,0.19678059220314026,0.9579614763227764
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,12,humidity,1.2370855774200085,0.7713046669960022,0.899165464851911
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,12,temperature,0.31372666408946503,0.2347160428762436,0.940612372980267
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,13,humidity,0.9941450617303379,0.7820549607276917,0.9206928842949246
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",10,13,temperature,0.2714954346524113,0.2324560135602951,0.9547748600500803
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,1,humidity,0.8926840287367883,0.7417763471603394,0.9446268511990314
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,1,temperature,0.24707206152496664,0.1982879936695099,0.9587395510641125
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,2,humidity,1.186911688182842,0.7948428392410278,0.8825187611755492
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,2,temperature,0.312318999801676,0.23952049016952515,0.9508592414245451
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,3,humidity,0.8309314246384172,0.5836820602416992,0.9475473061633252
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,3,temperature,0.26836573108769746,0.21172291040420532,0.9592585760779478
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,4,humidity,1.6619144240197485,0.8464593291282654,0.723499065392057
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,4,temperature,0.6104083713796753,0.35032373666763306,0.8592599149897426
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,5,humidity,1.029555054917838,0.7240013480186462,0.9215849080705427
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,5,temperature,0.30228544604558744,0.24527797102928162,0.9402293881410403
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,6,humidity,1.305886956464793,0.8753795623779297,0.880388738051188
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,6,temperature,0.32239292982619167,0.2366315722465515,0.946492500186312
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,7,humidity,1.7166672311553521,1.318834900856018,0.8114834976929848
